Workout DateTime,Program,Day Name,Exercise,Is Warmup Set?,Required Reps,Completed Reps,Is AMRAP?,Required RPE,Completed RPE,Log RPE?,Required Weight Value,Required Weight Unit,Completed Weight Value,Completed Weight Unit,Ask Weight?,Completed Reps Time,Target Muscles,Synergist Muscles,Notes
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,Bench Press,0,1,1,0,9,9,1,110,kg,112.5,kg,0,2026-05-08T17:55:50.796Z,Pectoralis Major Sternal Head,"Deltoid Anterior,Pectoralis Major Clavicular Head,Triceps Brachii",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,Bench Press,0,1,1,0,,,0,102.5,kg,102.5,kg,0,2026-05-08T17:59:29.679Z,Pectoralis Major Sternal Head,"Deltoid Anterior,Pectoralis Major Clavicular Head,Triceps Brachii",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,Bench Press,0,3,3,0,,,0,97.5,kg,100,kg,0,2026-05-08T18:03:21.749Z,Pectoralis Major Sternal Head,"Deltoid Anterior,Pectoralis Major Clavicular Head,Triceps Brachii",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,Bench Press,0,3,3,0,,,0,97.5,kg,100,kg,0,2026-05-08T18:09:38.491Z,Pectoralis Major Sternal Head,"Deltoid Anterior,Pectoralis Major Clavicular Head,Triceps Brachii",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Incline Bench Press, Dumbbell",0,12,11,0,,,0,28,kg,28,kg,0,2026-05-08T18:12:07.596Z,Pectoralis Major Clavicular Head,"Deltoid Anterior,Pectoralis Major Sternal Head,Triceps Brachii",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Incline Bench Press, Dumbbell",0,12,8,0,,,0,28,kg,28,kg,0,2026-05-08T18:16:40.235Z,Pectoralis Major Clavicular Head,"Deltoid Anterior,Pectoralis Major Sternal Head,Triceps Brachii",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Incline Bench Press, Dumbbell",0,12,6,0,,,0,28,kg,28,kg,0,2026-05-08T18:21:47.443Z,Pectoralis Major Clavicular Head,"Deltoid Anterior,Pectoralis Major Sternal Head,Triceps Brachii",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Helms Row, Dumbbell",0,12,10,0,,,0,28,kg,28,kg,0,2026-05-08T18:14:28.210Z,"Latissimus Dorsi,Trapezius Lower Fibers,Trapezius Middle Fibers","Infraspinatus,Teres Major,Teres Minor,Brachialis,Brachioradialis,Deltoid Posterior,Pectoralis Major Sternal Head",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Helms Row, Dumbbell",0,12,8,0,,,0,28,kg,28,kg,0,2026-05-08T18:18:34.053Z,"Latissimus Dorsi,Trapezius Lower Fibers,Trapezius Middle Fibers","Infraspinatus,Teres Major,Teres Minor,Brachialis,Brachioradialis,Deltoid Posterior,Pectoralis Major Sternal Head",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Helms Row, Dumbbell",0,12,8,0,,,0,28,kg,28,kg,0,2026-05-08T18:24:37.233Z,"Latissimus Dorsi,Trapezius Lower Fibers,Trapezius Middle Fibers","Infraspinatus,Teres Major,Teres Minor,Brachialis,Brachioradialis,Deltoid Posterior,Pectoralis Major Sternal Head",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Lat Prayer, Cable",0,15,14,0,,,0,100,lb,100,lb,0,2026-05-08T18:30:21.226Z,,,
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Lat Prayer, Cable",0,15,14,0,,,0,100,lb,100,lb,0,2026-05-08T18:34:44.689Z,,,
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Lat Prayer, Cable",0,15,11,0,,,0,100,lb,100,lb,0,2026-05-08T18:38:45.273Z,,,
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Hammer Curl, Cable",0,15,14,0,,,0,70,lb,70,lb,0,2026-05-08T18:32:41.516Z,Brachioradialis,"Biceps Brachii,Brachialis",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Hammer Curl, Cable",0,15,14,0,,,0,70,lb,70,lb,0,2026-05-08T18:36:50.125Z,Brachioradialis,"Biceps Brachii,Brachialis",
2026-05-08T17:50:24.603Z,5 day Hypertrophy,Day 1 - Upper 1,"Hammer Curl, Cable",0,15,13,0,,,0,70,lb,70,lb,0,2026-05-08T18:40:41.815Z,Brachioradialis,"Biceps Brachii,Brachialis",
